runtime,genre,rating,about,votes,gross_earn
89 min,"Comedy, Drama",6.6,A spelling bee loser sets out to exact revenge by finding a loophole and attempting to win as an adult.,"50,747",$7.76M
95 min,"Action, Adventure, Biography",7.8,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.","57,041",
97 min,"Adventure, Comedy, Crime",6.4,"Two idiots try to pretend that their murdered employer is really alive, leading the hitman to attempt to track him down to finish him off.","56,659",$30.22M
109 min,"Action, Crime, Drama",6,A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.,"47,526",$26.18M
97 min,"Action, Comedy, Crime",6.2,"The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that.","47,655",$28.33M
86 min,"Comedy, Crime, Drama",7.1,"The events leading up to an 11:14 p.m. car crash, from five very different perspectives.","47,854",
90 min,"Comedy, Drama, Music",6.7,Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.,"55,776",$0.30M
137 min,"Crime, Drama",7,"Scampia Vele is the corbusian architecture which has become a stronghold for Mafia of Naples, Italy.","48,967",$1.58M
99 min,"Biography, Drama",6.5,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,"52,787",$84.92M
104 min,"Adventure, Comedy, Family",4.1,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.","54,289",$20.92M
90 min,"Comedy, Romance",6.1,"Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.","52,485",$31.73M
114 min,"Crime, Drama, Thriller",7.9,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").","52,917",$1.22M
117 min,"Biography, Drama, History",7,The story of the assassination of U.S. Senator,"42,080",$11.24M
122 min,"Mystery, Thriller",8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.","62,714",$1.04M
112 min,"Fantasy, Horror, Mystery",6.4,A demonic force has chosen Freddy Krueger as its portal to the real world. Can,"58,240",$18.09M
115 min,"Comedy, Drama, Romance",6.4,"Michael'd have a great job, still have his 4 best friends, and be in love with a beautiful girl at 30. He loves Jenna but his life seems predictable until he meets a college girl. It seems that everybody's having relationship problems.","41,714",$11.60M
125 min,"Action, Comedy, Crime",5.9,A gang of ex-cons rob a casino during Elvis convention week.,"46,714",$15.74M
134 min,"Biography, Drama, History",7.1,"In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.","46,285",$1.73M
124 min,"Drama, Romance",7,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.","56,509",$129.80M
105 min,"Horror, Mystery, Thriller",4.6,"A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.","48,405",$21.46M
89 min,"Comedy, Crime",6.5,"A parody of several U.S. films about being in the 'Hood', for instance","55,486",$20.11M
115 min,"Comedy, Drama, Music",5.6,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.","56,353",$66.01M
115 min,"Comedy, Crime, Romance",7.1,"The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther"".","52,359",$10.88M
110 min,"Comedy, Drama, Romance",6,A group of young adults navigate love and relationships in New York City.,"88,285",$46.84M
111 min,"Action, Adventure, Sci-Fi",6.5,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,"56,566",
93 min,"Drama, Romance",6.4,A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield.,"45,439",$14.02M
129 min,"Action, Adventure, Comedy",6.4,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","2,85,187",$65.08M
80 min,"Animation, Adventure, Comedy",6.9,"While emigrating to the United States, a young Russian mouse gets separated from his family and must relocate them while trying to survive in a new country.","53,529",$47.48M
135 min,"Comedy, Drama, Romance",6.4,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his successful rival's girlfriend.,"50,381",$53.85M
81 min,"Action, Comedy",6.2,A rough-around-the-edges martial arts master seeks revenge for his parents' death.,"46,400",$16.03M
100 min,"Comedy, Romance",6.5,"A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together.","50,298",$25.34M
116 min,"Comedy, Romance",6.8,A married couple tries everything to drive each other out of the house in a vicious divorce battle.,"53,108",$86.89M
91 min,Comedy,6.4,A young couple struggles to repair a hopelessly dilapidated house.,"57,128",$37.50M
98 min,"Comedy, Drama, War",7.9,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.","47,143",$1.06M
168 min,"Adventure, Drama, Sport",7.5,"The rivalry between Enzo and Jacques, two childhood friends and now world-renowned free divers, becomes a beautiful and perilous journey into oneself and the unknown.","51,670",$3.50M
100 min,Drama,7.2,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,"55,079",$24.74M
109 min,"Crime, Mystery, Thriller",5.7,"A journalist goes undercover to ferret out businessman Harrison Hill as her childhood friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.","48,169",$23.98M
131 min,"Crime, Drama, Mystery",7.5,"An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letting on?","54,763",$6.18M
109 min,"Crime, Drama, Fantasy",5.1,"Riding across Manhattan in a stretch limo in order to get a haircut, a 28-year-old billionaire asset manager's day devolves into an odyssey with a cast of characters that start to tear his world apart.","47,660",$0.74M
92 min,"Comedy, Crime, Music",6.1,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.,"51,477",$5.37M
108 min,"Comedy, Drama, Romance",7,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.","46,807",$19.07M
107 min,"Adventure, Comedy, Family",6.6,Astérix and Obélix go to Egypt to help architect Numérobis who is building a palace for Cleopatra.,"52,849",$3.12M
103 min,"Comedy, Romance",5.5,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work, in order to gain the affections of a new female employee.","47,979",$28.44M
108 min,"Comedy, Drama, Romance",6.2,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,"48,823",$11.89M
99 min,"Action, Horror, Sci-Fi",2.4,A detective of the paranormal slowly unravels mysterious events with deadly results.,"45,607",$5.18M
126 min,"Action, Biography, Drama",7.2,The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.,"46,865",$5.70M
128 min,"Drama, Thriller, War",6.4,An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.,"47,865",$61.34M
84 min,"Action, Comedy, Crime",6.2,A spoof on,"48,676",$27.98M
98 min,"Comedy, Crime, Mystery",6.9,"Irwin M. ""Fletch"" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job and finding clues when it's clear the man is healthy.","52,231",$50.61M
94 min,"Drama, Romance",7.8,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,"58,008",
92 min,"Comedy, Crime, Romance",6.1,"Joel, the owner of an extract plant, tries to contend with myriad personal and professional problems, such as his potentially unfaithful wife and employees who want to take advantage of him.","48,403",$10.81M
86 min,"Action, Comedy, Horror",6.1,"A homeless vigilante blows away crooked cops, pedophile Santas, and other scumbags with his trusty pump-action shotgun.","46,411",$0.70M
95 min,"Adventure, Comedy, Mystery",5.8,"After their friend dies, three men decide to fulfill their childhood dream by going on a camping expedition for the lost D. B. Cooper bounty, with calamitous results.","47,876",$58.17M
90 min,"Comedy, Drama, Romance",5.6,A long-divorced couple fakes being married as their family unites for a wedding.,"49,891",$21.78M
118 min,"Drama, Musical, Romance",5.8,"Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.","43,909",$24.00M
93 min,"Action, Drama, Sport",5.8,Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.,"54,752",$16.06M
99 min,"Horror, Thriller",5.6,"A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues.","43,362",$25.12M
